ID,posX,posY,posZ,rotX,rotY,rotZ,bodyIDX,faceIDX,hairIDX,isCollide,Animation
0,3234.3,318.6,1614.1,0,-45,0,1,0,3,0,Stand_Dancing_01
1,3230.8,317.6,1614.6,0,135,0,0,1,0,0,Common_SitThinking_01_Loop
2,3234.1,317.6,1618.1,0,135,0,1,2,1,0,Common_Sit_02_Loop
3,3229,37.6,1615.7,0,135,0,0,0,0,0,Common_Sit_04_loop01
4,3230.8,317.6,1620.5,0,135,0,0,0,0,0,Common_Sit_02_Loop
5,3231.2,317.6,1621,0,135,0,0,0,0,0,Talk_Clap_01_Loop
6,3221.1,317.5,1622.9,0,90,0,0,0,0,0,Common_Sit_04_loop01
7,3224,317.5,1621.9,0,0,0,0,0,0,0,Talk_Normal_02_Loop
8,3188.1,318,1629.9,0,45,0,0,0,0,0,Stand_CrossHands_01_Loop
9,3184.6,318,1635.1,0,45,0,0,0,0,0,Common_Stretch_01
10,3200.9,318.1,1727.5,0,0,0,0,0,0,0,Juanfu_Loop
11,3204.7,318.2,1727.2,0,0,0,0,0,0,0,Juanfu_Loop
12,3213.1,318.2,1725.6,0,0,0,0,0,0,0,Juanfu_Loop
13,3154,316.7,1717.9,0,-180,0,0,0,0,0,Common_Stretch_01
14,3201.1,312.1,1678.1,0,-45,0,0,0,0,0,Stand_CrossHands_01_Loop
15,3232.1,317.2,1707.4,0,135,0,0,0,0,0,Common_Sit_03_Loop
16,3162.6,317,1671.5,0,0,0,0,0,0,0,Behit_Stand
17,3224.66,317.6,1630.9,0,-45,0,0,0,0,0,Common_Peddling_01_Loop
18,3198.2,318.2,1730.9,0,-90,0,0,0,0,0,Common_Guide_01_Loop
19,3225.7,317.5,1619.1,0,135,0,0,0,0,0,Talk_Encourage_01_Loop
20,3231.4,317.6,1618.6,0,135,0,0,0,0,0,Talk_Clap_01_Loop
21,3229.5,317.6,1621.6,0,135,0,0,0,0,0,Talk_Clap_01_Loop
22,3179.9,314,1687,0,-90,0,0,0,0,1,Stand1
23,3303.3,361.4,1623.3,0,0,0,0,0,0,0,Talk_Greet_02_Loop
24,3318.4,367.2,1568.8,0,-90,0,0,0,0,0,Talk_Toward_loop
25,3317.9,367.2,1565.7,0,-30,0,0,0,0,0,Talk_Laugh_01_loop
26,3315.1,367.2,1566.6,0,45,0,0,0,0,0,Talk_Think_01_loop
27,3363.4,375.6,1576.8,0,-90,0,0,0,0,0,Common_Guide_01_Loop
28,3353.2,374.5,1581.4,0,90,0,0,0,0,0,Watching_01_Loop
29,3356.7,374.5,1577.9,0,90,0,0,0,0,0,Watching_01_Loop
30,3407.3,377.1,1575.5,0,15,0,0,0,0,0,Common_Sit_02_Loop
31,3408.4,377.1,1575.6,0,-90,0,0,0,0,0,Talk_Normal_02_Loop
32,3164.4,317,1670.4,0,90,0,0,0,0,0,stand_fight_1_Loop
33,3168.2,317,1670.3,0,-90,0,0,0,0,0,stand_fight_2
34,3362.9,375.6,1569.2,0,0,0,0,0,0,0,Talk_Akimbo_Loop
