ID,posX,posY,posZ,rotX,rotY,rotZ,bodyIDX,faceIDX,hairIDX,isCollide,Animation
0,3233.8,317.6,1617.7,0,135,0,-1,0,0,0,Sit_Lean_1_Loop
1,3227.3,317.6,1617.4,0,135,0,-1,0,0,0,sit_cheer_1
2,3224.1,317.5,1626.2,0,-180,0,-1,0,0,0,sit_cheer_1
3,3221.2,317.5,1623.6,0,90,0,-1,0,0,0,sit_cheer_1
4,3222.7,317.5,1622.1,0,0,0,-1,0,0,0,Talk_Laugh_01_loop
5,3226.2,317.5,1624.8,0,-90,0,-1,0,0,0,Sit_Rest_02_loop01
6,3189.2,318,1629.1,0,45,0,-1,0,0,0,Stand_Grooving_01_Loop
7,3209,318.2,1726.4,0,0,0,-1,0,0,0,Juanfu_Loop
8,3217,318.2,1725,0,0,0,-1,0,0,0,Juanfu_Loop
9,3355.3,374.5,1580.4,0,105,0,-1,0,0,0,Stand_Pray_01_Loop
10,3289.6,361.4,1577.4,0,0,0,-1,0,0,0,Common_Bend_01_Loop
11,3288.9,361.4,1580.9,0,135,0,-1,0,0,0,Common_Agree_01
12,3369.5,375.6,1570.1,0,0,0,-1,0,0,0,Common_Disagree_01
13,3200.1,312.5,1673.2,0,45,0,-1,0,0,0,Treat_Stand
