StateName,AnimName,Duration
AirAttack_End,AirAttack_End,190
AirAttack_HackDown_Loop,AirAttack_HackDown_Loop,30
AirAttack_HackDown_Sp_End,AirAttack_HackDown_Sp_End,200
AirAttack_HackDown_Start,AirAttack_HackDown_Start,28
AirAttack_Loop,AirAttack_Loop,20
AirAttack_Start,AirAttack_Start,21
Attack01,Attack01,293
Attack02,Attack02,320
Attack03,Attack03,309
Attack04,Attack04,217
Attack_HeavyHack,Attack_HeavyHack,183
Attack_Pull,Attack_Pull,230
Attack_SpeedDrive,Attack_SpeedDrive,183
Attack_SpSkill,Attack_SpSkill,179
Behit_B_L,Behit_B_L,61
Behit_B_R,Behit_B_R,58
Behit_Fly_Fall,Behit_Fly_Fall,30
Behit_Fly_Loop,Behit_Fly_Loop,40
Behit_Fly_Start,Behit_Fly_Start,30
Behit_Hover,Behit_Hover,30
Behit_Press,Behit_Press,30
Behit_Push_Fall,Behit_Push_Fall,32
Behit_Push_Loop,Behit_Push_Loop,40
Behit_Push_Start,Behit_Push_Start,30
Behit_S_L,Behit_S_L,60
Behit_S_R,Behit_S_R,54
Blend_BasePose,Blend_BasePose,1
Burst01,Burst01,230
Burst_Stand,Burst_Stand,80
Captured,Captured,46
Climb_Boost_L,Climb_Boost_L,16
Climb_Boost_L_Start,Climb_Boost_L_Start,21
Climb_Boost_L_Stop,Climb_Boost_L_Stop,35
Climb_Boost_OnTop_LF,Climb_Boost_OnTop_LF,16
Climb_Boost_OnTop_RF,Climb_Boost_OnTop_RF,16
Climb_Boost_OnTopToSprint,Climb_Boost_OnTopToSprint,22
Climb_Boost_OnTopToSprint_LF,Climb_Boost_OnTopToSprint_LF,27
Climb_Boost_OnTopToSprint_RF,Climb_Boost_OnTopToSprint_RF,27
Climb_Boost_R,Climb_Boost_R,16
Climb_Boost_R_Start,Climb_Boost_R_Start,15
Climb_Boost_R_Stop,Climb_Boost_R_Stop,35
Climb_Boost_ShortVault_LF,Climb_Boost_ShortVault_LF,11
Climb_Boost_ShortVault_RF,Climb_Boost_ShortVault_RF,11
Climb_Boost_ShortVaultToSprint_LF,Climb_Boost_ShortVaultToSprint_LF,25
Climb_Boost_ShortVaultToSprint_RF,Climb_Boost_ShortVaultToSprint_RF,25
