StateName,AnimName
AirAttack_End,AirAttack_End
AirAttack_HackDown_Loop,AirAttack_HackDown_Loop
AirAttack_HackDown_Sp_End,AirAttack_HackDown_Sp_End
AirAttack_HackDown_Start,AirAttack_HackDown_Start
AirAttack_Loop,AirAttack_Loop
AirAttack_Start,AirAttack_Start
Attack01,Attack01
Attack02,Attack02
Attack03,Attack03
Attack04,Attack04
Attack_HeavyHack,Attack_HeavyHack
Attack_Pull,Attack_Pull
Attack_SpeedDrive,Attack_SpeedDrive
Attack_SpSkill,Attack_SpSkill
Behit_B_L,Behit_B_L
Behit_B_R,Behit_B_R
Behit_Fly_Fall,Behit_Fly_Fall
Behit_Fly_Loop,Behit_Fly_Loop
Behit_Fly_Start,Behit_Fly_Start
Behit_Hover,Behit_Hover
Behit_Press,Behit_Press
Behit_Push_Fall,Behit_Push_Fall
Behit_Push_Loop,Behit_Push_Loop
Behit_Push_Start,Behit_Push_Start
Behit_S_L,Behit_S_L
Behit_S_R,Behit_S_R
Blend_BasePose,Blend_BasePose
Burst01,Burst01
Burst_Stand,Burst_Stand
Captured,Captured
Climb_Boost_L,Climb_Boost_L
Climb_Boost_L_Start,Climb_Boost_L_Start
Climb_Boost_L_Stop,Climb_Boost_L_Stop
Climb_Boost_OnTop_LF,Climb_Boost_OnTop_LF
Climb_Boost_OnTop_RF,Climb_Boost_OnTop_RF
Climb_Boost_OnTopToSprint,Climb_Boost_OnTopToSprint
Climb_Boost_OnTopToSprint_LF,Climb_Boost_OnTopToSprint_LF
Climb_Boost_OnTopToSprint_RF,Climb_Boost_OnTopToSprint_RF
Climb_Boost_R,Climb_Boost_R
Climb_Boost_R_Start,Climb_Boost_R_Start
Climb_Boost_R_Stop,Climb_Boost_R_Stop
Climb_Boost_ShortVault_LF,Climb_Boost_ShortVault_LF
Climb_Boost_ShortVault_RF,Climb_Boost_ShortVault_RF
Climb_Boost_ShortVaultToSprint_LF,Climb_Boost_ShortVaultToSprint_LF
Climb_Boost_ShortVaultToSprint_RF,Climb_Boost_ShortVaultToSprint_RF
Climb_Boost_U,Climb_Boost_U
Climb_Boost_U_Start,Climb_Boost_U_Start
Climb_Boost_U_Stop,Climb_Boost_U_Stop
Climb_Boost_Vault,Climb_Boost_Vault
Climb_Boost_VaultToFall,Climb_Boost_VaultToFall
Climb_Boost_VaultTop,Climb_Boost_VaultTop
Climb_D1_Stop,Climb_D1_Stop
Climb_D2_Stop,Climb_D2_Stop
Climb_D_1,Climb_D_1
Climb_D_2,Climb_D_2
Climb_Dash_D,Climb_Dash_D
Climb_Dash_DL,Climb_Dash_DL
Climb_Dash_DR,Climb_Dash_DR
Climb_Dash_L,Climb_Dash_L
Climb_Dash_R,Climb_Dash_R
Climb_Dash_U,Climb_Dash_U
Climb_Dash_UL,Climb_Dash_UL
Climb_Dash_UR,Climb_Dash_UR
Climb_DL1_Stop,Climb_DL1_Stop
Climb_DL2_Stop,Climb_DL2_Stop
Climb_DL_1,Climb_DL_1
Climb_DL_2,Climb_DL_2
Climb_DR1_Stop,Climb_DR1_Stop
Climb_DR2_Stop,Climb_DR2_Stop
Climb_DR_1,Climb_DR_1
Climb_DR_2,Climb_DR_2
Climb_L1_Stop,Climb_L1_Stop
Climb_L2_Stop,Climb_L2_Stop
Climb_L_1,Climb_L_1
Climb_L_2,Climb_L_2
Climb_Move,Climb_Move
Climb_OnTop,Climb_OnTop
Climb_R1_Stop,Climb_R1_Stop
Climb_R2_Stop,Climb_R2_Stop
Climb_R_1,Climb_R_1
Climb_R_2,Climb_R_2
Climb_Stand,Climb_Stand
Climb_Start_Down,Climb_Start_Down
Climb_Start_Up,Climb_Start_Up
Climb_U1_Stop,Climb_U1_Stop
Climb_U2_Stop,Climb_U2_Stop
Climb_U_1,Climb_U_1
Climb_U_2,Climb_U_2
Climb_UL1_Stop,Climb_UL1_Stop
Climb_UL2_Stop,Climb_UL2_Stop
Climb_UL_1,Climb_UL_1
Climb_UL_2,Climb_UL_2
Climb_UR1_Stop,Climb_UR1_Stop
Climb_UR2_Stop,Climb_UR2_Stop
Climb_UR_1,Climb_UR_1
Climb_UR_2,Climb_UR_2
Climb_Vault,Climb_Vault
Death,Death
Fall_LeanPose_0,Fall_LeanPose_0
Fall_Loop,Fall_Loop
Fall_Loop_Fast,Fall_Loop_Fast
Fly_BasePose,Fly_BasePose
Hook_Up,Hook_Up
Jump_Loop,Jump_Loop
Jump_Run_LF,Jump_Run_LF
Jump_Run_RF,Jump_Run_RF
Jump_Second_B,Jump_Second_B
Jump_Second_F,Jump_Second_F
Jump_Walk_LF,Jump_Walk_LF
Jump_Walk_RF,Jump_Walk_RF
Move_B,Move_B
Move_F,Move_F
Move_Limit_B,Move_Limit_B
Move_Limit_F,Move_Limit_F
Pose,Pose
Rib_AirAttack_End,Rib_AirAttack_End
Rib_AirAttack_HackDown_Loop,Rib_AirAttack_HackDown_Loop
Rib_AirAttack_HackDown_Sp_End,Rib_AirAttack_HackDown_Sp_End
Rib_AirAttack_HackDown_Start,Rib_AirAttack_HackDown_Start
Rib_AirAttack_Loop,Rib_AirAttack_Loop
Rib_AirAttack_Start,Rib_AirAttack_Start
Rib_Attack01,Rib_Attack01
Rib_Attack02,Rib_Attack02
Rib_Attack03,Rib_Attack03
Rib_Attack04,Rib_Attack04
Rib_Attack_HeavyHack,Rib_Attack_HeavyHack
Rib_Attack_Pull,Rib_Attack_Pull
Rib_Attack_SpeedDrive,Rib_Attack_SpeedDrive
Rib_Attack_SpSkill,Rib_Attack_SpSkill
Rib_Behit_B_L,Rib_Behit_B_L
Rib_Behit_Fly_Fall,Rib_Behit_Fly_Fall
Rib_Behit_Fly_Loop,Rib_Behit_Fly_Loop
Rib_Behit_Fly_Start,Rib_Behit_Fly_Start
Rib_Behit_Hover,Rib_Behit_Hover
Rib_Behit_Push_Fall,Rib_Behit_Push_Fall
Rib_Behit_Push_Loop,Rib_Behit_Push_Loop
Rib_Behit_Push_Start,Rib_Behit_Push_Start
Rib_Behit_S_L,Rib_Behit_S_L
Rib_Behit_S_R,Rib_Behit_S_R
Rib_Burst01,Rib_Burst01
Rib_Burst_Stand,Rib_Burst_Stand
Rib_Captured,Rib_Captured
Rib_Climb_Boost_L,Rib_Climb_Boost_L
Rib_Climb_Boost_L_Start,Rib_Climb_Boost_L_Start
Rib_Climb_Boost_L_Stop,Rib_Climb_Boost_L_Stop
Rib_Climb_Boost_OnTop_LF,Rib_Climb_Boost_OnTop_LF
Rib_Climb_Boost_OnTop_RF,Rib_Climb_Boost_OnTop_RF
Rib_Climb_Boost_OnTopToSprint_LF,Rib_Climb_Boost_OnTopToSprint_LF
Rib_Climb_Boost_OnTopToSprint_RF,Rib_Climb_Boost_OnTopToSprint_RF
Rib_Climb_Boost_R,Rib_Climb_Boost_R
Rib_Climb_Boost_R_Start,Rib_Climb_Boost_R_Start
Rib_Climb_Boost_R_Stop,Rib_Climb_Boost_R_Stop
Rib_Climb_Boost_ShortVault_LF,Rib_Climb_Boost_ShortVault_LF
Rib_Climb_Boost_ShortVault_RF,Rib_Climb_Boost_ShortVault_RF
Rib_Climb_Boost_ShortVaultToSprint_LF,Rib_Climb_Boost_ShortVaultToSprint_LF
Rib_Climb_Boost_ShortVaultToSprint_RF,Rib_Climb_Boost_ShortVaultToSprint_RF
Rib_Climb_Boost_U,Rib_Climb_Boost_U
Rib_Climb_Boost_U_Start,Rib_Climb_Boost_U_Start
Rib_Climb_Boost_U_Stop,Rib_Climb_Boost_U_Stop
Rib_Climb_Boost_Vault,Rib_Climb_Boost_Vault
Rib_Climb_Boost_VaultToFall,Rib_Climb_Boost_VaultToFall
Rib_Climb_Boost_VaultTop,Rib_Climb_Boost_VaultTop
Rib_Climb_D1_Stop,Rib_Climb_D1_Stop
Rib_Climb_D2_Stop,Rib_Climb_D2_Stop
Rib_Climb_D_1,Rib_Climb_D_1
Rib_Climb_D_2,Rib_Climb_D_2
Rib_Climb_Dash_D,Rib_Climb_Dash_D
Rib_Climb_Dash_DL,Rib_Climb_Dash_DL
Rib_Climb_Dash_DR,Rib_Climb_Dash_DR
Rib_Climb_Dash_L,Rib_Climb_Dash_L
Rib_Climb_Dash_R,Rib_Climb_Dash_R
Rib_Climb_Dash_U,Rib_Climb_Dash_U
Rib_Climb_Dash_UL,Rib_Climb_Dash_UL
Rib_Climb_Dash_UR,Rib_Climb_Dash_UR
Rib_Climb_DL1_Stop,Rib_Climb_DL1_Stop
Rib_Climb_DL2_Stop,Rib_Climb_DL2_Stop
Rib_Climb_DL_1,Rib_Climb_DL_1
Rib_Climb_DL_2,Rib_Climb_DL_2
Rib_Climb_DR1_Stop,Rib_Climb_DR1_Stop
Rib_Climb_DR2_Stop,Rib_Climb_DR2_Stop
Rib_Climb_DR_1,Rib_Climb_DR_1
Rib_Climb_DR_2,Rib_Climb_DR_2
Rib_Climb_L1_Stop,Rib_Climb_L1_Stop
Rib_Climb_L2_Stop,Rib_Climb_L2_Stop
Rib_Climb_L_1,Rib_Climb_L_1
Rib_Climb_L_2,Rib_Climb_L_2
Rib_Climb_Move,Rib_Climb_Move
Rib_Climb_OnTop,Rib_Climb_OnTop
