StateName,AnimName,Duration
Addition_Walk_Up,Addition_Walk_Up,1.000000
AirAttack_End,AirAttack_End,190.000000
AirAttack_HackDown_Loop,AirAttack_HackDown_Loop,30.000000
AirAttack_HackDown_Sp_End,AirAttack_HackDown_Sp_End,200.000000
AirAttack_HackDown_Start,AirAttack_HackDown_Start,28.000000
AirAttack_Loop,AirAttack_Loop,20.000000
AirAttack_Start,AirAttack_Start,21.000000
Attack01,Attack01,293.000000
Attack02,Attack02,320.000000
Attack03,Attack03,309.000000
Attack04,Attack04,217.000000
Attack_HeavyHack,Attack_HeavyHack,183.000000
Attack_Pull,Attack_Pull,230.000000
Attack_SpeedDrive,Attack_SpeedDrive,183.000000
Attack_SpSkill,Attack_SpSkill,179.000000
Behit_B_L,Behit_B_L,61.000000
Behit_B_R,Behit_B_R,58.000000
Behit_Fly_Fall,Behit_Fly_Fall,30.000000
Behit_Fly_Loop,Behit_Fly_Loop,40.000000
Behit_Fly_Start,Behit_Fly_Start,30.000000
Behit_Hover,Behit_Hover,30.000000
Behit_Press,Behit_Press,30.000000
Behit_Push_Fall,Behit_Push_Fall,32.000000
Behit_Push_Loop,Behit_Push_Loop,40.000000
Behit_Push_Start,Behit_Push_Start,30.000000
Behit_S_L,Behit_S_L,60.000000
Behit_S_R,Behit_S_R,54.000000
Blend_BasePose,Blend_BasePose,1.000000
Burst01,Burst01,230.000000
Burst_Stand,Burst_Stand,80.000000
Captured,Captured,46.000000
Climb_Boost_L,Climb_Boost_L,16.000000
Climb_Boost_L_Start,Climb_Boost_L_Start,21.000000
Climb_Boost_L_Stop,Climb_Boost_L_Stop,35.000000
Climb_Boost_OnTop_LF,Climb_Boost_OnTop_LF,16.000000
Climb_Boost_OnTop_RF,Climb_Boost_OnTop_RF,16.000000
Climb_Boost_OnTopToSprint,Climb_Boost_OnTopToSprint,22.000000
Climb_Boost_OnTopToSprint_LF,Climb_Boost_OnTopToSprint_LF,27.000000
Climb_Boost_OnTopToSprint_RF,Climb_Boost_OnTopToSprint_RF,27.000000
Climb_Boost_R,Climb_Boost_R,16.000000
Climb_Boost_R_Start,Climb_Boost_R_Start,15.000000
