StateName,AnimName
Attack01,Attack01
Jump_Loop,Jump_Loop
Jump_Run_LF,Jump_Run_LF
Jump_Run_RF,Jump_Run_RF
Jump_Second_B,Jump_Second_B
Jump_Second_F,Jump_Second_F
Jump_Walk_LF,Jump_Walk_LF
Jump_Walk_RF,Jump_Walk_RF
Move_B,Move_B
Move_F,Move_F
Move_Limit_B,Move_Limit_B
Move_Limit_F,Move_Limit_F
Pose,Pose
Rib_Attack01,Rib_Attack01
Rib_Jump_Loop,Rib_Jump_Loop
Rib_Jump_Run_LF,Rib_Jump_Run_LF
Rib_Jump_Run_RF,Rib_Jump_Run_RF
Rib_Jump_Second_B,Rib_Jump_Second_B
Rib_Jump_Second_F,Rib_Jump_Second_F
Rib_Jump_Walk_LF,Rib_Jump_Walk_LF
Rib_Jump_Walk_RF,Rib_Jump_Walk_RF
Rib_Move_B,Rib_Move_B
Rib_Move_F,Rib_Move_F
Rib_Move_Limit_B,Rib_Move_Limit_B
Rib_Move_Limit_F,Rib_Move_Limit_F
Rib_Run_B,Rib_Run_B
Rib_Run_F,Rib_Run_F
Rib_Run_LB,Rib_Run_LB
Rib_Run_LF,Rib_Run_LF
Rib_Run_Pose_F,Rib_Run_Pose_F
Rib_Run_Pose_L,Rib_Run_Pose_L
Rib_Run_Pose_R,Rib_Run_Pose_R
Rib_Run_RB,Rib_Run_RB
Rib_Run_RF,Rib_Run_RF
Rib_Run_Turnback,Rib_Run_Turnback
Run_B,Run_B
Run_F,Run_F
Run_LB,Run_LB
Run_LF,Run_LF
Run_Pose_F,Run_Pose_F
Run_Pose_L,Run_Pose_L
Run_Pose_R,Run_Pose_R
Run_RB,Run_RB
Run_RF,Run_RF
Run_Turnback,Run_Turnback
