StateName,AnimName,Duration
AirAttack_End,AirAttack_End,190.000000
AirAttack_HackDown_Loop,AirAttack_HackDown_Loop,45.000000
AirAttack_HackDown_Sp_End,AirAttack_HackDown_Sp_End,200.000000
AirAttack_HackDown_Start,AirAttack_HackDown_Start,45.000000
AirAttack_Loop,AirAttack_Loop,20.000000
AirAttack_Start,AirAttack_Start,21.000000
Attack01,Attack01,293.000000
Attack02,Attack02,320.000000
Attack03,Attack03,309.000000
Attack04,Attack04,217.000000
Attack_HeavyHack,Attack_HeavyHack,183.000000
Attack_Pull,Attack_Pull,269.000000
Attack_SpeedDrive_01,Attack_SpeedDrive_01,183.000000
Attack_SpSkill,Attack_SpSkill,179.000000
Burst01,Burst01,230.000000
Burst_Attack06_EX,Burst_Attack06_EX,197.000000
Burst_Attack06_EX_dajian,Burst_Attack06_EX_dajian,195.000000
Changjian_Loop,Changjian_Loop,320.000000
Skill_Hack,Skill_Hack,114.000000
SkillQTE,SkillQTE,288.000000
Stand1,Stand1,100.000000
Stand1_Action01,Stand1_Action01,688.000000
Stand1_Action02,Stand1_Action02,675.000000
Stand2,Stand2,80.000000
StandChange,StandChange,476.000000
