StateName,AnimName,Duration
Addition_Walk_Up,Addition_Walk_Up,2.000000
AirAttack_End,AirAttack_End,114.000000
AirAttack_Loop_1,AirAttack_Loop_1,19.000000
AirAttack_Loop_2,AirAttack_Loop_2,21.000000
AirAttack_Start,AirAttack_Start,22.000000
Attack01,Attack01,136.000000
Attack02,Attack02,309.000000
Attack03,Attack03,358.000000
Attack04,Attack04,314.000000
Attack05,Attack05,141.000000
Attack06,Attack06,133.000000
Attack07,Attack07,381.000000
Attack08,Attack08,227.000000
Attack08_H,Attack08_H,227.000000
Attack11,Attack11,99.000000
Attack_H_01,Attack_H_01,168.000000
Attack_H_02,Attack_H_02,151.000000
Attack_H_0201,Attack_H_0201,86.000000
Attack_H_0202,Attack_H_0202,154.000000
Attack_H_0203,Attack_H_0203,158.000000
Attack_Jump,Attack_Jump,34.000000
Attack_Jump_End02,Attack_Jump_End02,31.000000
Attack_Jump_Start,Attack_Jump_Start,32.000000
Attack_charge,Attack_charge,58.000000
Behit_B_L,Behit_B_L,62.000000
Behit_B_R,Behit_B_R,59.000000
Behit_Fly_Fall,Behit_Fly_Fall,31.000000
Behit_Fly_Loop,Behit_Fly_Loop,41.000000
Behit_Fly_Start,Behit_Fly_Start,31.000000
Behit_Hover,Behit_Hover,31.000000
Behit_Press,Behit_Press,31.000000
Behit_Push_Fall,Behit_Push_Fall,33.000000
Behit_Push_Loop,Behit_Push_Loop,41.000000
Behit_Push_Start,Behit_Push_Start,31.000000
Behit_S_L,Behit_S_L,61.000000
Behit_S_R,Behit_S_R,55.000000
Blend_BasePose,Blend_BasePose,2.000000
Burst01,Burst01,183.000000
Calm01,Calm01,68.000000
Calm01.001,Calm01.001,59.000000
Calm01.002,Calm01.002,81.000000
Captured,Captured,47.000000
Climb_Boost_L,Climb_Boost_L,17.000000
Climb_Boost_L_Start,Climb_Boost_L_Start,22.000000
Climb_Boost_L_Stop,Climb_Boost_L_Stop,36.000000
Climb_Boost_OnTopToSprint,Climb_Boost_OnTopToSprint,23.000000
Climb_Boost_OnTopToSprint_LF,Climb_Boost_OnTopToSprint_LF,28.000000
Climb_Boost_OnTopToSprint_RF,Climb_Boost_OnTopToSprint_RF,28.000000
Climb_Boost_OnTop_LF,Climb_Boost_OnTop_LF,17.000000
Climb_Boost_OnTop_RF,Climb_Boost_OnTop_RF,17.000000
Climb_Boost_R,Climb_Boost_R,17.000000
Climb_Boost_R_Start,Climb_Boost_R_Start,16.000000
Climb_Boost_R_Stop,Climb_Boost_R_Stop,36.000000
Climb_Boost_ShortVaultToSprint_LF,Climb_Boost_ShortVaultToSprint_LF,26.000000
Climb_Boost_ShortVaultToSprint_RF,Climb_Boost_ShortVaultToSprint_RF,26.000000
Climb_Boost_ShortVault_LF,Climb_Boost_ShortVault_LF,12.000000
Climb_Boost_ShortVault_RF,Climb_Boost_ShortVault_RF,12.000000
Climb_Boost_U,Climb_Boost_U,17.000000
Climb_Boost_U_Start,Climb_Boost_U_Start,21.000000
Climb_Boost_U_Stop,Climb_Boost_U_Stop,36.000000
Climb_Boost_Vault,Climb_Boost_Vault,30.000000
Climb_Boost_VaultToFall,Climb_Boost_VaultToFall,17.000000
Climb_Boost_VaultTop,Climb_Boost_VaultTop,45.000000
Climb_D1_Stop,Climb_D1_Stop,81.000000
Climb_D2_Stop,Climb_D2_Stop,81.000000
Climb_DL1_Stop,Climb_DL1_Stop,81.000000
Climb_DL2_Stop,Climb_DL2_Stop,81.000000
Climb_DL_1,Climb_DL_1,41.000000
Climb_DL_2,Climb_DL_2,41.000000
Climb_DR1_Stop,Climb_DR1_Stop,81.000000
Climb_DR2_Stop,Climb_DR2_Stop,81.000000
Climb_DR_1,Climb_DR_1,41.000000
Climb_DR_2,Climb_DR_2,41.000000
Climb_D_1,Climb_D_1,41.000000
Climb_D_2,Climb_D_2,41.000000
Climb_Dash_D,Climb_Dash_D,41.000000
Climb_Dash_DL,Climb_Dash_DL,41.000000
Climb_Dash_DR,Climb_Dash_DR,41.000000
Climb_Dash_L,Climb_Dash_L,41.000000
Climb_Dash_R,Climb_Dash_R,41.000000
Climb_Dash_U,Climb_Dash_U,41.000000
Climb_Dash_UL,Climb_Dash_UL,41.000000
Climb_Dash_UR,Climb_Dash_UR,41.000000
Climb_L1_Stop,Climb_L1_Stop,81.000000
Climb_L2_Stop,Climb_L2_Stop,81.000000
Climb_L_1,Climb_L_1,41.000000
Climb_L_2,Climb_L_2,41.000000
Climb_Move,Climb_Move,31.000000
Climb_OnTop,Climb_OnTop,54.000000
Climb_R1_Stop,Climb_R1_Stop,81.000000
Climb_R2_Stop,Climb_R2_Stop,81.000000
Climb_R_1,Climb_R_1,41.000000
Climb_R_2,Climb_R_2,41.000000
Climb_Stand,Climb_Stand,81.000000
Climb_Start_Down,Climb_Start_Down,46.000000
Climb_Start_Up,Climb_Start_Up,46.000000
Climb_U1_Stop,Climb_U1_Stop,81.000000
Climb_U2_Stop,Climb_U2_Stop,81.000000
Climb_UL1_Stop,Climb_UL1_Stop,81.000000
Climb_UL2_Stop,Climb_UL2_Stop,81.000000
Climb_UL_1,Climb_UL_1,41.000000
Climb_UL_2,Climb_UL_2,41.000000
Climb_UR1_Stop,Climb_UR1_Stop,81.000000
Climb_UR2_Stop,Climb_UR2_Stop,81.000000
Climb_UR_1,Climb_UR_1,41.000000
Climb_UR_2,Climb_UR_2,41.000000
Climb_U_1,Climb_U_1,41.000000
Climb_U_2,Climb_U_2,41.000000
Climb_Vault,Climb_Vault,49.000000
Complain01,Complain01,48.000000
Complain01.001,Complain01.001,81.000000
Complain01.002,Complain01.002,48.000000
Complain02,Complain02,41.000000
Complain02.001,Complain02.001,81.000000
Complain02.002,Complain02.002,44.000000
Daiheihua_Montage,Daiheihua_Montage,147.000000
Death,Death,76.000000
Death_InWater,Death_InWater,96.000000
Drag_End,Drag_End,131.000000
Drag_Loop_D,Drag_Loop_D,60.000000
Drag_Loop_F,Drag_Loop_F,61.000000
Drag_Loop_U,Drag_Loop_U,61.000000
Drag_Start_D,Drag_Start_D,51.000000
Drag_Start_F,Drag_Start_F,111.000000
Drag_Start_U,Drag_Start_U,51.000000
Execution_Fuludelisi,Execution_Fuludelisi,159.000000
Execution_Fuludelisi_Montage,Execution_Fuludelisi_Montage,159.000000
Fall_LeanPose_0,Fall_LeanPose_0,2.000000
Fall_Loop,Fall_Loop,81.000000
Fall_Loop_Fast,Fall_Loop_Fast,81.000000
FixHook_End,FixHook_End,41.000000
FixHook_End_Fast,FixHook_End_Fast,41.000000
FixHook_Loop_D,FixHook_Loop_D,201.000000
FixHook_Loop_F,FixHook_Loop_F,201.000000
FixHook_Loop_L,FixHook_Loop_L,201.000000
FixHook_Loop_R,FixHook_Loop_R,201.000000
FixHook_Loop_U,FixHook_Loop_U,201.000000
FixHook_Start01_D,FixHook_Start01_D,16.000000
FixHook_Start01_F,FixHook_Start01_F,16.000000
FixHook_Start01_U,FixHook_Start01_U,16.000000
FixHook_Start02_D,FixHook_Start02_D,46.000000
FixHook_Start02_F,FixHook_Start02_F,46.000000
FixHook_Start02_U,FixHook_Start02_U,46.000000
Fly_BasePose,Fly_BasePose,2.000000
Flyready01_Montage,Flyready01_Montage,110.000000
Fool01,Fool01,61.000000
Fool01.001,Fool01.001,81.000000
Fool01.002,Fool01.002,66.000000
Greetings01_Montage,Greetings01_Montage,78.000000
Hook_Up,Hook_Up,41.000000
However01,However01,111.000000
However01.001,However01.001,161.000000
However01.002,However01.002,131.000000
Jump_Loop,Jump_Loop,41.000000
Jump_Run_LF,Jump_Run_LF,22.000000
Jump_Run_RF,Jump_Run_RF,22.000000
Jump_Second_B,Jump_Second_B,31.000000
Jump_Second_F,Jump_Second_F,31.000000
Jump_Walk_LF,Jump_Walk_LF,22.000000
Jump_Walk_RF,Jump_Walk_RF,22.000000
Land_Heavy,Land_Heavy,51.000000
Land_Light,Land_Light,32.000000
Land_Roll,Land_Roll,56.000000
Land_Roll_Attack01_2,Land_Roll_Attack01_2,43.000000
Landslide_B,Landslide_B,101.000000
Landslide_F,Landslide_F,101.000000
Landslide_Sprint_Loop,Landslide_Sprint_Loop,51.000000
Landslide_Sprint_Pose_F,Landslide_Sprint_Pose_F,2.000000
Landslide_Sprint_Start,Landslide_Sprint_Start,25.000000
Lashou01,Lashou01,64.000000
Lashou01.001,Lashou01.001,81.000000
Lashou01.002,Lashou01.002,52.000000
Manipulate_Absorb_End,Manipulate_Absorb_End,29.000000
Manipulate_Absorb_Loop,Manipulate_Absorb_Loop,81.000000
Manipulate_Absorb_Start,Manipulate_Absorb_Start,36.000000
Manipulate_Hold,Manipulate_Hold,2.000000
Manipulate_Release_F,Manipulate_Release_F,61.000000
Manipulate_Release_F_02,Manipulate_Release_F_02,61.000000
Move_B,Move_B,41.000000
Move_F,Move_F,41.000000
Move_Limit_B,Move_Limit_B,61.000000
Move_Limit_F,Move_Limit_F,61.000000
Observe01,Observe01,52.000000
Observe01.001,Observe01.001,111.000000
Observe01.002,Observe01.002,66.000000
Pose,Pose,2.000000
Promise01,Promise01,64.000000
Promise01.001,Promise01.001,81.000000
Promise01.002,Promise01.002,67.000000
Run_B,Run_B,23.000000
Run_BasePose,Run_BasePose,2.000000
Run_F,Run_F,23.000000
Run_LB,Run_LB,23.000000
Run_LF,Run_LF,23.000000
Run_Pose_F,Run_Pose_F,2.000000
Run_Pose_L,Run_Pose_L,2.000000
Run_Pose_R,Run_Pose_R,2.000000
Run_RB,Run_RB,23.000000
Run_RF,Run_RF,23.000000
Run_Turnback,Run_Turnback,51.000000
Shenlanyao01,Shenlanyao01,152.000000
Shenlanyao01.001,Shenlanyao01.001,161.000000
Shenlanyao01.002,Shenlanyao01.002,91.000000
Shenlanyao01_Onetime,Shenlanyao01_Onetime,152.000000
Shenlanyao01_Onetime.001,Shenlanyao01_Onetime.001,91.000000
SiChuZhangWang01_Montage,SiChuZhangWang01_Montage,215.000000
Sit01,Sit01,133.000000
Sit01.001,Sit01.001,161.000000
Sit01.002,Sit01.002,165.000000
SitCalm01,SitCalm01,66.000000
SitCalm01.001,SitCalm01.001,121.000000
SitCalm01.002,SitCalm01.002,57.000000
SitTalk01,SitTalk01,101.000000
SitTalk01.001,SitTalk01.001,161.000000
SitTalk01.002,SitTalk01.002,68.000000
Sit_L_End,Sit_L_End,75.000000
Sit_L_Start,Sit_L_Start,75.000000
Sit_M_End,Sit_M_End,51.000000
Sit_M_Start,Sit_M_Start,48.000000
Sit_R_End,Sit_R_End,77.000000
Sit_R_Start,Sit_R_Start,56.000000
Sit_Stand,Sit_Stand,359.000000
Skill01,Skill01,219.000000
Sprint_F,Sprint_F,17.000000
Sprint_Impulse_F,Sprint_Impulse_F,17.000000
Squat02,Squat02,97.000000
Squat02.001,Squat02.001,81.000000
Squat02.002,Squat02.002,93.000000
Stand01_Montage,Stand01_Montage,81.000000
Stand04,Stand04,131.000000
Stand04.001,Stand04.001,161.000000
Stand04.002,Stand04.002,152.000000
Stand04_Takc01,Stand04_Takc01,192.000000
Stand04_Takc01.001,Stand04_Takc01.001,161.000000
Stand04_Takc01.002,Stand04_Takc01.002,113.000000
Stand1_Action01,Stand1_Action01,364.000000
Stand1_Action02,Stand1_Action02,592.000000
Stand1_Action03,Stand1_Action03,666.000000
Stand1_Turn_L90D,Stand1_Turn_L90D,46.000000
Stand1_Turn_R90D,Stand1_Turn_R90D,46.000000
Stand2,Stand2,81.000000
Stand3,Stand3,81.000000
StandChange,StandChange,373.000000
StandChange02,StandChange02,393.000000
StandUp,StandUp,41.000000
Stand_Control,Stand_Control,60.000000
Stop_Run_L,Stop_Run_L,41.000000
Stop_Run_R,Stop_Run_R,41.000000
Stop_Sprint_L,Stop_Sprint_L,45.000000
Stop_Sprint_R,Stop_Sprint_R,45.000000
Stop_Walk_L,Stop_Walk_L,46.000000
Stop_Walk_R,Stop_Walk_R,46.000000
Summon,Summon,56.000000
Super_Sprint_End,Super_Sprint_End,18.000000
Super_Sprint_Start,Super_Sprint_Start,14.000000
Super_Sprint_Start_F,Super_Sprint_Start_F,19.000000
SwimUp_Loop_F,SwimUp_Loop_F,25.000000
SwimUp_Loop_L,SwimUp_Loop_L,25.000000
SwimUp_Loop_R,SwimUp_Loop_R,25.000000
Swim_Fall,Swim_Fall,49.000000
Swim_Loop_F,Swim_Loop_F,31.000000
Swim_Loop_L,Swim_Loop_L,31.000000
Swim_Loop_R,Swim_Loop_R,31.000000
Swim_Stand,Swim_Stand,51.000000
Talk01,Talk01,55.000000
Talk01.001,Talk01.001,81.000000
Talk01.002,Talk01.002,73.000000
Talk02,Talk02,58.000000
Talk02.001,Talk02.001,81.000000
Talk02.002,Talk02.002,75.000000
Thinking01,Thinking01,60.000000
Thinking01.001,Thinking01.001,81.000000
Thinking01.002,Thinking01.002,64.000000
Touch01,Touch01,63.000000
Touch01.001,Touch01.001,81.000000
Touch01.002,Touch01.002,53.000000
Tsundere01,Tsundere01,55.000000
Tsundere01.001,Tsundere01.001,81.000000
Tsundere01.002,Tsundere01.002,71.000000
Ui_Chip_End,Ui_Chip_End,41.000000
Ui_Chip_Loop,Ui_Chip_Loop,181.000000
Ui_Chip_Start,Ui_Chip_Start,36.000000
Walk_B,Walk_B,39.000000
Walk_F,Walk_F,39.000000
Walk_LB,Walk_LB,39.000000
Walk_LF,Walk_LF,39.000000
Walk_Pose_F,Walk_Pose_F,2.000000
Walk_Pose_L,Walk_Pose_L,2.000000
Walk_Pose_R,Walk_Pose_R,2.000000
Walk_RB,Walk_RB,39.000000
Walk_RF,Walk_RF,39.000000
