StateName,AnimName,Duration,Parts Bone
Addition_Walk_Up,Addition_Walk_Up,1,
AirAttack_End,AirAttack_End,113,
AirAttack_Loop_1,AirAttack_Loop_1,18,
AirAttack_Loop_2,AirAttack_Loop_2,20,
AirAttack_Start,AirAttack_Start,21,
AirAttack_Start02,AirAttack_Start02,13,
Attack01,Attack01,135,"Weapon Prop01, 02 | Gun"
Attack02,Attack02,308,"Weapon Prop01, 02 | Gun"
Attack03,Attack03,357,"Weapon Prop01, 02 | Gun"
Attack04,Attack04,313,Weapon Prp01 | Gun
Attack05,Attack05,140,
Attack06,Attack06,132,
Attack07,Attack07,380,
Attack08,Attack08,226,
Attack08_H,Attack08_H,226,
Attack11,Attack11,113,
Attack_charge,Attack_charge,57,(기본)E스킬
Attack_H_01,Attack_H_01,167,
Attack_H_02,Attack_H_02,150,
Attack_H_0201,Attack_H_0201,88,
Attack_H_0202,Attack_H_0202,153,
Attack_H_0203,Attack_H_0203,157,
Attack_Jump,Attack_Jump,33,
Attack_Jump_End02,Attack_Jump_End02,30,
Attack_Jump_Start,Attack_Jump_Start,31,
Behit_B_L,Behit_B_L,61,
Behit_B_R,Behit_B_R,58,
Behit_Fly_Fall,Behit_Fly_Fall,30,
Behit_Fly_Loop,Behit_Fly_Loop,40,
Behit_Fly_Start,Behit_Fly_Start,30,
Behit_Hover,Behit_Hover,30,
Behit_Press,Behit_Press,30,
Behit_Push_Fall,Behit_Push_Fall,32,
Behit_Push_Loop,Behit_Push_Loop,40,
Behit_Push_Start,Behit_Push_Start,30,
Behit_S_L,Behit_S_L,60,
Behit_S_R,Behit_S_R,54,
Blend_BasePose,Blend_BasePose,1,
Burst01,Burst01,182,
Burst_Pre,Burst_Pre,15,
Captured,Captured,46,
Climb_Boost_L,Climb_Boost_L,16,
Climb_Boost_L_Start,Climb_Boost_L_Start,21,
Climb_Boost_L_Stop,Climb_Boost_L_Stop,35,
Climb_Boost_OnTop_LF,Climb_Boost_OnTop_LF,16,
Climb_Boost_OnTop_RF,Climb_Boost_OnTop_RF,16,
Climb_Boost_OnTopToSprint,Climb_Boost_OnTopToSprint,22,
Climb_Boost_OnTopToSprint_LF,Climb_Boost_OnTopToSprint_LF,27,
Climb_Boost_OnTopToSprint_RF,Climb_Boost_OnTopToSprint_RF,27,
Climb_Boost_R,Climb_Boost_R,16,
Climb_Boost_R_Start,Climb_Boost_R_Start,15,
Climb_Boost_R_Stop,Climb_Boost_R_Stop,35,
Climb_Boost_ShortVault_LF,Climb_Boost_ShortVault_LF,11,
Climb_Boost_ShortVault_RF,Climb_Boost_ShortVault_RF,11,
Climb_Boost_ShortVaultToSprint_LF,Climb_Boost_ShortVaultToSprint_LF,25,
Climb_Boost_ShortVaultToSprint_RF,Climb_Boost_ShortVaultToSprint_RF,25,
Climb_Boost_U,Climb_Boost_U,16,
Climb_Boost_U_Start,Climb_Boost_U_Start,20,
Climb_Boost_U_Stop,Climb_Boost_U_Stop,35,
Climb_Boost_Vault,Climb_Boost_Vault,29,
Climb_Boost_VaultToFall,Climb_Boost_VaultToFall,16,
Climb_Boost_VaultTop,Climb_Boost_VaultTop,44,
Climb_D1_Stop,Climb_D1_Stop,80,
Climb_D2_Stop,Climb_D2_Stop,80,
Climb_D_1,Climb_D_1,40,
Climb_D_2,Climb_D_2,40,
Climb_Dash_D,Climb_Dash_D,40,
Climb_Dash_DL,Climb_Dash_DL,40,
Climb_Dash_DR,Climb_Dash_DR,40,
Climb_Dash_L,Climb_Dash_L,40,
Climb_Dash_R,Climb_Dash_R,40,
Climb_Dash_U,Climb_Dash_U,40,
Climb_Dash_UL,Climb_Dash_UL,40,
Climb_Dash_UR,Climb_Dash_UR,40,
Climb_DL1_Stop,Climb_DL1_Stop,80,
Climb_DL2_Stop,Climb_DL2_Stop,80,
Climb_DL_1,Climb_DL_1,40,
Climb_DL_2,Climb_DL_2,40,
Climb_DR1_Stop,Climb_DR1_Stop,80,
Climb_DR2_Stop,Climb_DR2_Stop,80,
Climb_DR_1,Climb_DR_1,40,
Climb_DR_2,Climb_DR_2,40,
Climb_L1_Stop,Climb_L1_Stop,80,
Climb_L2_Stop,Climb_L2_Stop,80,
Climb_L_1,Climb_L_1,40,
Climb_L_2,Climb_L_2,40,
Climb_Move,Climb_Move,30,
Climb_OnTop,Climb_OnTop,53,
Climb_R1_Stop,Climb_R1_Stop,80,
Climb_R2_Stop,Climb_R2_Stop,80,
Climb_R_1,Climb_R_1,40,
Climb_R_2,Climb_R_2,40,
Climb_Stand,Climb_Stand,80,
Climb_Start_Down,Climb_Start_Down,45,
Climb_Start_Up,Climb_Start_Up,45,
Climb_U1_Stop,Climb_U1_Stop,80,
Climb_U2_Stop,Climb_U2_Stop,80,
Climb_U_1,Climb_U_1,40,
Climb_U_2,Climb_U_2,40,
Climb_UL1_Stop,Climb_UL1_Stop,80,
Climb_UL2_Stop,Climb_UL2_Stop,80,
Climb_UL_1,Climb_UL_1,40,
Climb_UL_2,Climb_UL_2,40,
Climb_UR1_Stop,Climb_UR1_Stop,80,
Climb_UR2_Stop,Climb_UR2_Stop,80,
Climb_UR_1,Climb_UR_1,40,
Climb_UR_2,Climb_UR_2,40,
Climb_Vault,Climb_Vault,48,
Death,Death,75,
Death_InWater,Death_InWater,95,
DefaultSlot,DefaultSlot,158,
Drag_End,Drag_End,130,
Drag_Loop_D,Drag_Loop_D,60,
Drag_Loop_F,Drag_Loop_F,60,
Drag_Loop_U,Drag_Loop_U,60,
Drag_Start_D,Drag_Start_D,50,
Drag_Start_F,Drag_Start_F,110,
Drag_Start_U,Drag_Start_U,50,
Execution_Fuludelisi,Execution_Fuludelisi,158,
Fall_LeanPose_0,Fall_LeanPose_0,1,
Fall_Loop,Fall_Loop,80,
Fall_Loop_Fast,Fall_Loop_Fast,80,
FixHook_End,FixHook_End,40,
FixHook_End_Fast,FixHook_End_Fast,40,
FixHook_Loop_D,FixHook_Loop_D,200,
FixHook_Loop_F,FixHook_Loop_F,200,
FixHook_Loop_L,FixHook_Loop_L,200,
FixHook_Loop_R,FixHook_Loop_R,200,
FixHook_Loop_U,FixHook_Loop_U,200,
FixHook_Start01_D,FixHook_Start01_D,15,
FixHook_Start01_F,FixHook_Start01_F,15,
FixHook_Start01_U,FixHook_Start01_U,15,
FixHook_Start02_D,FixHook_Start02_D,45,
FixHook_Start02_F,FixHook_Start02_F,45,
FixHook_Start02_U,FixHook_Start02_U,45,
Fly_BasePose,Fly_BasePose,1,
Hook_Up,Hook_Up,40,
Jump_Loop,Jump_Loop,40,
Jump_Run_LF,Jump_Run_LF,21,
Jump_Run_RF,Jump_Run_RF,21,
Jump_Second_B,Jump_Second_B,30,
Jump_Second_F,Jump_Second_F,30,
Jump_Walk_LF,Jump_Walk_LF,21,
Jump_Walk_RF,Jump_Walk_RF,21,
Land_Heavy,Land_Heavy,50,
Land_Light,Land_Light,31,
Land_Roll,Land_Roll,55,
Land_Roll_Attack01_2,Land_Roll_Attack01_2,42,
Landslide_B,Landslide_B,100,
Landslide_F,Landslide_F,100,
Landslide_Sprint_Loop,Landslide_Sprint_Loop,50,
Landslide_Sprint_Pose_F,Landslide_Sprint_Pose_F,1,
Landslide_Sprint_Start,Landslide_Sprint_Start,24,
Manipulate_Absorb_End,Manipulate_Absorb_End,28,
Manipulate_Absorb_Loop,Manipulate_Absorb_Loop,80,
Manipulate_Absorb_Start,Manipulate_Absorb_Start,35,
Manipulate_Hold,Manipulate_Hold,1,
