StateName,AnimName,Duration
Attack02,Attack02,110.000000
B_Attack03,B_Attack03,102.000000
B_Attack04,B_Attack04,140.000000
B_attack04_1,B_attack04_1,135.000000
B_Attack05,B_Attack05,122.000000
B_Attack06,B_Attack06,100.000000
B_Burst01,B_Burst01,136.000000
B_Ex_Attack01,B_Ex_Attack01,100.000000
B_Ex_Attack02,B_Ex_Attack02,110.000000
B_Ex_Attack03,B_Ex_Attack03,92.000000
B_Ex_Attack04,B_Ex_Attack04,126.000000
B_Ex_Attack05,B_Ex_Attack05,140.000000
B_EX_Attack06,B_EX_Attack06,112.000000
B_Ex_Skill01_02,B_Ex_Skill01_02,100.000000
B_Skill,B_Skill,115.000000
B_Skill01,B_Skill01,94.000000
B_Skill02,B_Skill02,130.000000
B_SkillQte,B_SkillQte,50.000000
EDarkNanzhuWing_Wing09,EDarkNanzhuWing_Wing09,60.000000
G_Attack03,G_Attack03,90.000000
G_Attack04,G_Attack04,138.000000
G_Attack04_1,G_Attack04_1,132.000000
G_Attack05,G_Attack05,109.000000
G_Burst01,G_Burst01,133.000000
G_Ex_Attack01,G_Ex_Attack01,93.000000
G_Ex_Attack02,G_Ex_Attack02,100.000000
G_Ex_Attack03,G_Ex_Attack03,97.000000
G_Ex_Attack04,G_Ex_Attack04,88.000000
G_Ex_Attack05,G_Ex_Attack05,88.000000
G_Ex_Attack06,G_Ex_Attack06,97.000000
G_Ex_Skill01_02,G_Ex_Skill01_02,83.000000
G_Skill,G_Skill,90.000000
G_Skill01,G_Skill01,115.000000
G_Skill02,G_Skill02,105.000000
G_SkillQte,G_SkillQte,50.000000
