StateName,AnimName,Duration
AirAttack_End,AirAttack_End,236.000000
AirAttack_Loop,AirAttack_Loop,21.000000
AirAttack_Start,AirAttack_Start,16.000000
Stand1_Action01,Stand1_Action01,631.000000
Stand1_Action02,Stand1_Action02,670.000000
Stand1_Action03,Stand1_Action03,721.000000
Stand2,Stand2,121.000000
StandChange,StandChange,262.000000
Rib_AirAttack_End,Rib_AirAttack_End,235.000000
Rib_AirAttack_Loop,Rib_AirAttack_Loop,20.000000
Rib_AirAttack_Start,Rib_AirAttack_Start,15.000000
Rib_Stand1,Rib_Stand1,80.000000
Rib_Stand1_Action01,Rib_Stand1_Action01,630.000000
Rib_Stand1_Action02,Rib_Stand1_Action02,669.000000
Rib_Stand1_Action03,Rib_Stand1_Action03,720.000000
Rib_Stand2,Rib_Stand2,120.000000
Rib_StandChange,Rib_StandChange,261.000000
Rib_StandUp,Rib_StandUp,40.000000
