frame,mode,readback_ms,frame_ms
7944,DB_ON,6.2166,11.3658
7945,DB_ON,5.134,9.7569
7946,DB_ON,6.4114,11.6269
7947,DB_ON,5.5658,9.8126
7948,DB_ON,6.5913,11.8391
7949,DB_ON,5.4142,10.3792
7950,DB_ON,6.3358,11.5976
7951,DB_ON,5.4319,10.2197
7952,DB_ON,5.8584,11.0165
7953,DB_ON,5.3787,10.16
7954,DB_ON,6.3145,11.5594
7955,DB_ON,5.7486,10.3939
7956,DB_ON,6.1237,11.4815
7957,DB_ON,5.5467,10.0617
7958,DB_ON,6.6738,11.7939
7959,DB_ON,5.4128,10.4808
7960,DB_ON,6.2666,11.4439
7961,DB_ON,5.7207,10.8236
7962,DB_ON,5.7918,11.0271
7963,DB_ON,5.5727,10.0309
7964,DB_ON,6.6826,11.9804
7965,DB_ON,5.2208,10.117
7966,DB_ON,6.4014,11.6137
7967,DB_ON,5.7149,10.4525
7968,DB_ON,6.2005,11.4687
7969,DB_ON,5.6142,10.2063
7970,DB_ON,6.3814,11.7996
7971,DB_ON,4.9638,10.1241
7972,DB_ON,6.3388,11.664
7973,DB_ON,4.7202,9.9966
7974,DB_ON,5.7359,10.9619
7975,DB_ON,5.4075,9.9357
7976,DB_ON,6.5468,11.7165
7977,DB_ON,4.8229,9.6595
7978,DB_ON,6.3514,11.5098
7979,DB_ON,5.2899,10.2974
7980,DB_ON,5.6779,10.8983
7981,DB_ON,5.3592,9.8066
7982,DB_ON,6.1293,11.3148
7983,DB_ON,5.1222,10.136
7984,DB_ON,6.3509,11.6165
7985,DB_ON,5.2836,10.1038
7986,DB_ON,6.0742,11.2964
7987,DB_ON,4.8702,9.6393
7988,DB_ON,6.513,11.5789
7989,DB_ON,5.2176,10.0043
7990,DB_ON,6.3061,11.5306
7991,DB_ON,5.7,10.5044
7992,DB_ON,5.3875,10.6805
7993,DB_ON,5.4196,9.8851
7994,DB_ON,6.6535,11.8927
7995,DB_ON,5.2558,10.2002
7996,DB_ON,6.4843,11.6518
7997,DB_ON,5.7213,10.7438
7998,DB_ON,5.6853,10.9644
7999,DB_ON,5.6283,10.3451
8000,DB_ON,5.8147,11.3615
